"file","text","voicevox_text"
"common-056.wav","お父さんとお母さんは今、何歳ですか。どんな仕事をしていますか。","お父さんとお母さんは今、なんさいですか。どんな仕事をしていますか。"
"common-057.wav","将来のために、今足りないことは何ですか。","将来のために、今足りないことはなんですか。"
"major-001.wav","どうして介護を勉強したいですか。","どうして介護を勉強したいですか。"
"major-002.wav","介護の仕事で大切なことは何だと思いますか。","介護の仕事で大切なことはなんだと思いますか。"
"major-003.wav","お年寄りと話すとき、何に気をつけますか。","お年寄りと話すとき、なにに気をつけますか。"
"major-004.wav","介護の仕事は大変なこともありますが、どうがんばりますか。","介護の仕事は大変なこともありますが、どうがんばりますか。"
"major-005.wav","将来、どんな介護職員になりたいですか。","将来、どんな介護職員になりたいですか。"
"major-006.wav","どうして自動車整備を勉強したいですか。","どうして自動車整備を勉強したいですか。"
"major-007.wav","車に興味を持ったきっかけは何ですか。","車に興味を持ったきっかけはなんですか。"
"major-008.wav","自動車整備の仕事で大切なことは何だと思いますか。","自動車整備の仕事で大切なことはなんだと思いますか。"
"major-009.wav","安全に作業するために、何に気をつけますか。","安全に作業するために、なにに気をつけますか。"
"major-010.wav","将来、どんな整備士になりたいですか。","将来、どんな整備士になりたいですか。"
"major-011.wav","どうしてITを勉強したいですか。","どうしてITを勉強したいですか。"
"major-012.wav","パソコンやスマートフォンを使って、何をすることが好きですか。","パソコンやスマートフォンを使って、なにをすることが好きですか。"
"major-013.wav","ITの勉強で、どんなことを学びたいですか。","ITの勉強で、どんなことを学びたいですか。"
"major-014.wav","わからないエラーが出たとき、どうしますか。","わからないエラーが出たとき、どうしますか。"
"major-015.wav","将来、ITの知識を使ってどんな仕事をしたいですか。","将来、ITの知識を使ってどんな仕事をしたいですか。"
"major-016.wav","どうして観光を勉強したいですか。","どうして観光を勉強したいですか。"
"major-017.wav","観光の仕事で大切なことは何だと思いますか。","観光の仕事で大切なことはなんだと思いますか。"
"major-018.wav","お客様に山口県を紹介するとしたら、何を紹介しますか。","お客様に山口県を紹介するとしたら、なにを紹介しますか。"
"major-019.wav","外国人のお客様と話すとき、何に気をつけますか。","外国人のお客様と話すとき、なにに気をつけますか。"
"major-020.wav","将来、観光の仕事でどんな人になりたいですか。","将来、観光の仕事でどんな人になりたいですか。"
"major-021.wav","どうしてビジネスを勉強したいですか。","どうしてビジネスを勉強したいですか。"
"major-022.wav","ビジネスの勉強で、どんなことを学びたいですか。","ビジネスの勉強で、どんなことを学びたいですか。"
"major-023.wav","会社で働くとき、大切なことは何だと思いますか。","会社で働くとき、大切なことはなんだと思いますか。"
"major-024.wav","チームで仕事をするとき、何に気をつけますか。","チームで仕事をするとき、なにに気をつけますか。"
"major-025.wav","将来、ビジネスの勉強をどう生かしたいですか。","将来、ビジネスの勉強をどう生かしたいですか。"
